linkPVID,calculatedMeanSlope,givenMeanSlope
51881672,0.0,-0.013999999999999999
51881767,-1.231784667758117E-7,0.10433333333333333
51881768,-0.010965762908942443,-0.0165
51881825,0.020561310949304457,-0.11699999999999999
51881938,0.0,0.12333333333333334
811768915,0.0,0.17533333333333334
51883233,0.0,1.4916666666666665
67948960,-0.027414616923932492,0.83725
67948524,1.2802437435698033E-8,0.4243333333333334
51883237,0.0,0.978
51883238,-4.479567280221003E-8,0.10874999999999999
572204412,0.0,-0.8665
51883362,-0.027414990523061733,1.15375
67948946,0.0,1.17875
67948945,0.0,0.09574999999999999
67948530,0.0,-0.6805
51883890,1.35785901766377E-8,-0.35825
554728228,0.0137072159796799,0.9421428571428571
554728229,0.0,0.2355
51867645,-0.018276381113775064,-0.10200000000000001
762732456,0.0,-0.018500000000000003
51866678,-0.0274154314356859,-0.021
51866677,0.0,-0.002
799517966,0.005483124867523189,-0.05566666666666666
799517967,0.013707664058157485,-1.4456028966473393E-18
51865408,-5.0076888824870935E-9,-0.023999999999999997
762732451,-0.02741550246008285,-0.012
762732452,-0.004217637571873508,-0.0055
51882111,0.020561462017907414,-0.0715
51882112,-0.013707517528824887,-0.07166666666666666
51882046,0.00913852208833952,-0.04566666666666666
762732454,0.027415427075540597,0.036
762732447,0.013707709059676745,0.017666666666666667
762732448,-0.027415508405451178,0.019
762732458,-0.01096604125034475,0.064
719953785,0.005482945867157885,-0.004666666666666669
716671988,-0.003163167159760048,-0.013666666666666667
762772848,0.0,-5.0E-4
762772849,-0.0023839310737888944,0.0115
51881430,-0.0039163393838547115,0.11166666666666668
51888926,-0.003426942372760382,-0.023500000000000004
554739608,-0.0018275783578760682,-0.09433333333333334
51867079,-0.027415087474564434,-0.06899999999999999
554739611,0.0,-0.145
554728248,0.0,0.057666666666666665
554728249,0.0,0.372
67942291,0.013707624407619407,0.491
67942292,0.0,0.26366666666666666
773673189,0.0,-0.6475
773673190,0.0,-0.7969999999999999
67948819,0.0,-0.19519999999999998
51867088,0.020561098953239872,-0.094
51867089,0.0,-0.11475
51867664,0.0,0.04
51867774,0.006092306743816941,0.08566666666666667
572252438,-0.0021088790264840894,0.107
572252439,-0.02741522839838616,0.049666666666666665
51867666,-0.013707143335367478,0.04700000000000001
554728246,-0.013707423303096024,0.009749999999999995
51867668,0.0,-0.073
781750241,0.0,0.043
67948816,0.0,-0.043333333333333335
51867087,0.006853904842186689,-0.3265
51867096,-0.004569293234588197,-0.5135000000000001
773673192,0.0,-0.386
51867114,0.0,0.181
67942290,0.0,0.3665
67942289,-0.01370721272998868,0.15100000000000002
51882109,0.012184536887872136,-0.012
586525586,0.0,-0.22724999999999998
51867717,0.0,-0.064
586525704,0.0,-0.143
51867684,0.0,0.0205
724991084,0.0,-0.131
51885534,0.006853579494936658,-0.084
51883586,-0.01827634626699694,-0.9059999999999999
51883509,-3.7339838176303486E-8,-0.8463333333333334
51883510,0.0,-1.4264999999999999
723434427,0.0,-1.226
723434426,0.0,-0.28775
711674430,0.0,1.0493333333333335
586532797,-0.027414726264711593,1.083285714285714
